evidence_id,path_or_source,scope,classification,result,observed_hash_or_object,stored_hash,row_count,declared_commit,reason
git_tag_v0.1_frozen,<git tag v0.1-frozen>,canonical frozen git object,VERIFIED_EVIDENCE,PASS,1ab4d800f45c073862758582c124218d44467463,,0,e594c33343268af948603ae1abb8e07592641b05,Annotated tag exists; dereferences to e594c33.
git_branch_forward_v0.1,<git branch forward-v0.1>,canonical forward branch,VERIFIED_EVIDENCE,PASS,e594c33343268af948603ae1abb8e07592641b05,,0,e594c33343268af948603ae1abb8e07592641b05,Branch exists and equals frozen commit.
strategy_registry,D:\MT5\research_registry\strategy_registry.yaml,central governance registry,LEGACY_EVIDENCE,PASS,sha256:7e6ee394b588576d9dd786fa8b4202c471a40b989af97d0afc12c677c764d63a,,505,e594c33,"File exists and supports research history, but commit reference belongs to an earlier stage."
strategy_identity,D:\MT5\research_registry\strategy_identity.yaml,central identity registry,VERIFIED_EVIDENCE,PASS,sha256:21c85ae68e2985778ce02f4f9a3004b8fdace16edbade81abaad68405b40e21d,,114,676986e,Central governance evidence is present and internally traceable.
frozen_candidates,D:\MT5\research_registry\frozen_candidates.yaml,central frozen baseline registry,VERIFIED_EVIDENCE,PASS,sha256:a2f38d657ac7f5e82f02b1c29e5458e005c1b6909c697ea4ce85fb0debe7c304,,57,e594c33,Central governance evidence is present and internally traceable.
data_ledger,D:\MT5\research_registry\data_ledgers\STR-003.yaml,central data ledger,LEGACY_EVIDENCE,WARN,sha256:b76a7f0c1ae966f68cd497dc791a18f985a0a32beaaadee10fa67af78b74cf78,sha256:b76a7f0c1ae966f68cd497dc791a18f985a0a32beaaadee10fa67af78b74cf78,109,MISSING,"Centralized and hash-traceable but reconstructed after freeze. Stored hash matches, but classification remains warning due custody issue."
stage_state,D:\MT5\research_registry\stage_states\STR-003.yaml,central stage state,LEGACY_EVIDENCE,PASS,sha256:4ee33e30246731ed829ff3f707afeda7c6394798305e8b7edb022f9596097ebd,,44,MISSING,"File exists and supports research history, but commit reference belongs to an earlier stage."
archived_hypotheses,D:\MT5\research_registry\archived_hypotheses.yaml,central archived hypotheses,LEGACY_EVIDENCE,PASS,sha256:e4c36d857177eca299c94820fe51c2a83585eb344eea88791183c54853c2bd0e,,46,MISSING,"File exists and supports research history, but commit reference belongs to an earlier stage."
version_json,D:\MT5\openclaw\bb_strategy\version.json,freeze manifest,LEGACY_EVIDENCE,WARN,sha256:72629a408893d8406d10fc64db934a8c70b722e8e6c800f7e176a481e57c6676,sha256:72629a408893d8406d10fc64db934a8c70b722e8e6c800f7e176a481e57c6676,126,MISSING,"Hash-traceable artifact, but declares stale commit 676986e instead of tag commit e594c33. Stored hash matches, but classification remains warning due custody issue."
forward_config,D:\MT5\openclaw\bb_strategy\forward_live\forward_live_config.yaml,forward-live activation config,LEGACY_EVIDENCE,WARN,sha256:15e6f74d5b2aff6ca299e36258596397f8c9ab01872dbbb06ed38ed342e8f535,sha256:15e6f74d5b2aff6ca299e36258596397f8c9ab01872dbbb06ed38ed342e8f535,49,676986e,"Hash-traceable artifact, but declares stale commit 676986e instead of tag commit e594c33. Stored hash matches, but classification remains warning due custody issue."
frozen_report,D:\MT5\openclaw\bb_strategy\output\reports\v0.1\frozen_report.md,freeze report,LEGACY_EVIDENCE,WARN,sha256:0fcdaff13537e0c751f7d8cb8a4155c116bc2e2f6a05ef4f9402f9e7f5535cb7,sha256:0fcdaff13537e0c751f7d8cb8a4155c116bc2e2f6a05ef4f9402f9e7f5535cb7,88,676986e,"Hash-traceable artifact, but declares stale commit 676986e instead of tag commit e594c33. Stored hash matches, but classification remains warning due custody issue."
optimization_report,D:\MT5\openclaw\bb_strategy\output\reports\v0.1\optimization_report.md,optimization evidence,LEGACY_EVIDENCE,PASS,sha256:e2505931bf9b9ae4b704bc51909bdac6446700d34777ba46f8f01b429513042f,,205,de7338b,"File exists and supports research history, but commit reference belongs to an earlier stage."
event_study_report,D:\MT5\openclaw\bb_strategy\output\reports\v0.1\event_study_report.md,event-study evidence,LEGACY_EVIDENCE,PASS,sha256:81a1684eb25558fb646ee41964c0bfe2488e40245c8086f8eaff519e50ffc5a6,sha256:81a1684eb25558fb646ee41964c0bfe2488e40245c8086f8eaff519e50ffc5a6,158,d8a8e88,"File exists and supports research history, but commit reference belongs to an earlier stage. Stored hash matches."
event_study_json,D:\MT5\openclaw\bb_strategy\output\reports\v0.1\event_study_report.json,event-study machine output,LEGACY_EVIDENCE,PASS,sha256:4a79cc146dbe7713e0550ed9a7005947a9692805bdff0a748fe760ceef67457e,,166,MISSING,"File exists and supports research history, but commit reference belongs to an earlier stage."
execution_audit,D:\MT5\openclaw\bb_strategy\output\reports\v0.1\execution_audit.md,legacy execution audit,LEGACY_EVIDENCE,PASS,sha256:2a9bcd672d8a54274336fdaaf5536f94121b15b56d73edba767bf4198dc1ea5b,sha256:2a9bcd672d8a54274336fdaaf5536f94121b15b56d73edba767bf4198dc1ea5b,148,40d68a4,"File exists and supports research history, but commit reference belongs to an earlier stage. Stored hash matches."
trade_attribution,D:\MT5\openclaw\bb_strategy\output\reports\v0.1\trade_attribution.md,attribution evidence,LEGACY_EVIDENCE,PASS,sha256:ec81815d23cf85a16b76fd029b91f2cf4639d72a1ce85d289f167c843b6ed43e,sha256:ec81815d23cf85a16b76fd029b91f2cf4639d72a1ce85d289f167c843b6ed43e,219,06f7350,"File exists and supports research history, but commit reference belongs to an earlier stage. Stored hash matches."
regime_validation_report,D:\MT5\openclaw\bb_strategy\output\reports\v0.1\regime_validation_report.md,regime validation evidence,LEGACY_EVIDENCE,PASS,sha256:02be2bf8fcdb3748b016cd0228d9798a2071e7099eeaf349ba269bf594c61719,,88,72575eb,"File exists and supports research history, but commit reference belongs to an earlier stage."
temporal_validation_report,D:\MT5\openclaw\bb_strategy\output\reports\v0.1\temporal_validation_report.md,temporal validation evidence,LEGACY_EVIDENCE,PASS,sha256:ee6590689ad16c7a679580d0298fa8207b198b7d9a5a179b70f9f9fcb89b65cd,,138,72575eb,"File exists and supports research history, but commit reference belongs to an earlier stage."
trade_summary,D:\MT5\openclaw\bb_strategy\output\reports\v0.1\trade_summary.csv,trade detail/summary evidence,LEGACY_EVIDENCE,PASS,sha256:b70e3e70747f9bce6bc1a6b8680af964f96b58ba887dbd4c7ca09784f7733d35,sha256:b70e3e70747f9bce6bc1a6b8680af964f96b58ba887dbd4c7ca09784f7733d35,345,MISSING,"File exists and supports research history, but commit reference belongs to an earlier stage. Stored hash matches."
results_csv,D:\MT5\openclaw\bb_strategy\results.csv,legacy result artifact,LEGACY_EVIDENCE,PASS,sha256:46e31ad7e218dcb260a1f680cecb010d65e2603fd91a489cb407edc634b0fa50,sha256:46e31ad7e218dcb260a1f680cecb010d65e2603fd91a489cb407edc634b0fa50,29,MISSING,"File exists and supports research history, but commit reference belongs to an earlier stage. Stored hash matches."
post_freeze_reassessment_audited_trades,D:\MT5\openclaw\bb_strategy\output\reports\reassessment_20260527\stage_01_execution\audited_trades.csv,post-freeze diagnostic artifact,UNVERIFIED_EVIDENCE,WARN,sha256:f42931675b81e662ae2c1bc0977f93c53d1607b891172503b71d8c61c3f490cf,sha256:f42931675b81e662ae2c1bc0977f93c53d1607b891172503b71d8c61c3f490cf,70,MISSING,"Post-freeze reassessment artifact is untracked and diagnostic-only. Stored hash matches, but classification remains warning due custody issue."
